model,actual_label,predicted_label,count
KNN_5,rt,lb,0
KNN_5,rt,left,0
KNN_5,rt,leftrunning,0
KNN_5,rt,lt,0
KNN_5,rt,paper,0
KNN_5,rt,rb,0
KNN_5,rt,right,0
KNN_5,rt,rock,0
KNN_5,rt,rt,174
KNN_5,rt,scissors,0
KNN_5,rt,thumb,0
KNN_5,rt,up,0
KNN_5,scissors,clasp,0
KNN_5,scissors,down,1
KNN_5,scissors,home,0
KNN_5,scissors,lb,0
KNN_5,scissors,left,1
KNN_5,scissors,leftrunning,0
KNN_5,scissors,lt,0
KNN_5,scissors,paper,1
KNN_5,scissors,rb,0
KNN_5,scissors,right,0
KNN_5,scissors,rock,1
KNN_5,scissors,rt,0
KNN_5,scissors,scissors,166
KNN_5,scissors,thumb,0
KNN_5,scissors,up,0
KNN_5,thumb,clasp,0
KNN_5,thumb,down,0
KNN_5,thumb,home,0
KNN_5,thumb,lb,0
KNN_5,thumb,left,0
KNN_5,thumb,leftrunning,0
KNN_5,thumb,lt,0
KNN_5,thumb,paper,0
KNN_5,thumb,rb,0
KNN_5,thumb,right,0
KNN_5,thumb,rock,0
KNN_5,thumb,rt,0
KNN_5,thumb,scissors,0
KNN_5,thumb,thumb,200
KNN_5,thumb,up,0
KNN_5,up,clasp,0
KNN_5,up,down,0
KNN_5,up,home,0
KNN_5,up,lb,0
KNN_5,up,left,0
KNN_5,up,leftrunning,0
KNN_5,up,lt,0
KNN_5,up,paper,0
KNN_5,up,rb,0
KNN_5,up,right,0
KNN_5,up,rock,0
KNN_5,up,rt,0
KNN_5,up,scissors,0
KNN_5,up,thumb,0
KNN_5,up,up,174
